k Value,Average,StdDev,25th Percentile,75th Percentile
1,0.945749791144528,0.00757137094756283,0.939967105263158,0.951127819548872
2,0.934325059961732,0.0270491043150111,0.914261460101867,0.951127819548872
3,0.918535586277522,0.0293552901846031,0.900806451612903,0.940092165898617
4,0.914831882573818,0.0332991934412212,0.89247311827957,0.940092165898617
5,0.889828738512949,0.0566136072231682,0.850328947368421,0.933035714285714
10,0.963293650793651,0.0326477830791753,0.941220238095238,0.988095238095238
15,0.974025974025974,0.0241028760295672,0.956709956709957,0.992424242424242
20,0.974025974025974,0.0241028760295672,0.956709956709957,0.992424242424242
30,0.974025974025974,0.0241028760295672,0.956709956709957,0.992424242424242
40,0.963293650793651,0.0326477830791753,0.941220238095238,0.988095238095238
50,0.963293650793651,0.0326477830791753,0.941220238095238,0.988095238095238
